Results of experiments stored in: ./experiments/CartPole-v1_15

Episode: 1 (908), exploration: 0.9991603023395271, score: 46.0
Scores: (min: 9.0, avg: 20.8, max: 46.0)

Episode: 51 (958), exploration: 0.9686984543407441, score: 36.0
Scores: (min: 9.0, avg: 21.098039215686274, max: 46.0)

Episode: 52 (959), exploration: 0.9683497647432807, score: 13.0
Scores: (min: 9.0, avg: 20.942307692307693, max: 46.0)

Episode: 53 (960), exploration: 0.9676527620427515, score: 24.0
Scores: (min: 9.0, avg: 21.0, max: 46.0)

Episode: 54 (961), exploration: 0.9670723097108035, score: 19.0
Scores: (min: 9.0, avg: 20.962962962962962, max: 46.0)

Episode: 55 (962), exploration: 0.9666081985505056, score: 16.0
Scores: (min: 9.0, avg: 20.87272727272727, max: 46.0)

Episode: 56 (963), exploration: 0.9662602613548313, score: 11.0
Scores: (min: 9.0, avg: 20.696428571428573, max: 46.0)

Episode: 57 (964), exploration: 0.9659124494015172, score: 15.0
Scores: (min: 9.0, avg: 20.596491228070175, max: 46.0)

Episode: 58 (965), exploration: 0.9651013749775331, score: 27.0
Scores: (min: 9.0, avg: 20.70689655172414, max: 46.0)

Episode: 59 (966), exploration: 0.9646382096956321, score: 16.0
Scores: (min: 9.0, avg: 20.627118644067796, max: 46.0)

Episode: 60 (967), exploration: 0.9641752666930521, score: 16.0
Scores: (min: 9.0, avg: 20.55, max: 46.0)

Episode: 61 (968), exploration: 0.9637125458631182, score: 14.0
Scores: (min: 9.0, avg: 20.442622950819672, max: 46.0)

Episode: 62 (969), exploration: 0.9632500470992068, score: 17.0
Scores: (min: 9.0, avg: 20.387096774193548, max: 46.0)

Episode: 63 (970), exploration: 0.9627877702947455, score: 15.0
Scores: (min: 9.0, avg: 20.3015873015873, max: 46.0)

Episode: 64 (971), exploration: 0.9625567150940186, score: 11.0
Model Saved
Scores: (min: 9.0, avg: 20.15625, max: 46.0)

Episode: 65 (972), exploration: 0.9615176526914263, score: 34.0
Scores: (min: 9.0, avg: 20.369230769230768, max: 46.0)

Episode: 66 (973), exploration: 0.9611715478723585, score: 12.0
Scores: (min: 9.0, avg: 20.242424242424242, max: 46.0)

Episode: 67 (974), exploration: 0.960710268567958, score: 15.0
Scores: (min: 9.0, avg: 20.16417910447761, max: 46.0)

Episode: 68 (975), exploration: 0.960018764654808, score: 25.0
Scores: (min: 9.0, avg: 20.235294117647058, max: 46.0)

Episode: 69 (976), exploration: 0.959442891622129, score: 22.0
Scores: (min: 9.0, avg: 20.26086956521739, max: 46.0)

Episode: 70 (977), exploration: 0.95909753362742, score: 10.0
Scores: (min: 9.0, avg: 20.114285714285714, max: 46.0)

Episode: 71 (978), exploration: 0.9585222132007162, score: 20.0
Scores: (min: 9.0, avg: 20.112676056338028, max: 46.0)

Episode: 72 (979), exploration: 0.9581771866104672, score: 13.0
Scores: (min: 9.0, avg: 20.01388888888889, max: 46.0)

Episode: 73 (980), exploration: 0.9577173443407804, score: 15.0
Scores: (min: 9.0, avg: 19.945205479452056, max: 46.0)

Episode: 74 (981), exploration: 0.9571428518289251, score: 19.0
Scores: (min: 9.0, avg: 19.93243243243243, max: 46.0)

Episode: 75 (982), exploration: 0.9566835059505739, score: 16.0
Scores: (min: 9.0, avg: 19.88, max: 46.0)

Episode: 76 (983), exploration: 0.9561096335928978, score: 20.0
Scores: (min: 9.0, avg: 19.88157894736842, max: 46.0)

Episode: 77 (984), exploration: 0.9553067905704142, score: 29.0
Scores: (min: 9.0, avg: 20.0, max: 46.0)

Episode: 78 (985), exploration: 0.9549629213934114, score: 14.0
Scores: (min: 9.0, avg: 19.923076923076923, max: 46.0)

Episode: 79 (986), exploration: 0.9546191759944578, score: 11.0
Scores: (min: 9.0, avg: 19.810126582278482, max: 46.0)

Episode: 80 (987), exploration: 0.9534742513785821, score: 40.0
Scores: (min: 9.0, avg: 20.0625, max: 46.0)

Episode: 81 (988), exploration: 0.9530166661115055, score: 17.0
Scores: (min: 9.0, avg: 20.02469135802469, max: 46.0)

Episode: 82 (989), exploration: 0.9524449933297713, score: 19.0
Scores: (min: 9.0, avg: 20.01219512195122, max: 46.0)

Episode: 83 (990), exploration: 0.9521021542761504, score: 13.0
Scores: (min: 9.0, avg: 19.927710843373493, max: 46.0)

Episode: 84 (991), exploration: 0.9516452274971433, score: 16.0
Scores: (min: 9.0, avg: 19.88095238095238, max: 46.0)

Episode: 85 (992), exploration: 0.9509602484558286, score: 21.0
Scores: (min: 9.0, avg: 19.894117647058824, max: 46.0)

Episode: 86 (993), exploration: 0.9506179438462239, score: 12.0
Scores: (min: 9.0, avg: 19.802325581395348, max: 46.0)

Episode: 87 (994), exploration: 0.9493638807787833, score: 45.0
Scores: (min: 9.0, avg: 20.091954022988507, max: 46.0)

Episode: 88 (995), exploration: 0.949022150792582, score: 12.0
Scores: (min: 9.0, avg: 20.0, max: 46.0)

Episode: 89 (996), exploration: 0.9481114720817311, score: 34.0
Scores: (min: 9.0, avg: 20.15730337078652, max: 46.0)

Episode: 90 (997), exploration: 0.9475427417101515, score: 17.0
Scores: (min: 9.0, avg: 20.122222222222224, max: 46.0)

Episode: 91 (998), exploration: 0.9473153450967565, score: 11.0
Scores: (min: 9.0, avg: 20.021978021978022, max: 46.0)

Episode: 92 (999), exploration: 0.9462927354748469, score: 36.0
Scores: (min: 9.0, avg: 20.195652173913043, max: 46.0)

Episode: 93 (1000), exploration: 0.945952110968287, score: 9.0
Scores: (min: 9.0, avg: 20.0752688172043, max: 46.0)

Episode: 94 (1001), exploration: 0.945384675902465, score: 21.0
Scores: (min: 9.0, avg: 20.085106382978722, max: 46.0)

Episode: 95 (1002), exploration: 0.9450443782581244, score: 12.0
Scores: (min: 9.0, avg: 20.0, max: 46.0)

Episode: 96 (1003), exploration: 0.9439109371970485, score: 41.0
Scores: (min: 9.0, avg: 20.21875, max: 46.0)

Episode: 97 (1004), exploration: 0.9433447265415954, score: 19.0
Scores: (min: 9.0, avg: 20.20618556701031, max: 46.0)

Episode: 98 (1005), exploration: 0.9430051631909026, score: 13.0
Scores: (min: 9.0, avg: 20.132653061224488, max: 46.0)

Episode: 99 (1006), exploration: 0.9426657220683474, score: 11.0
Scores: (min: 9.0, avg: 20.04040404040404, max: 46.0)

Episode: 100 (1007), exploration: 0.9419872063316787, score: 25.0
Scores: (min: 9.0, avg: 20.09, max: 46.0)

Episode: 101 (1008), exploration: 0.9413091789798042, score: 25.0
Scores: (min: 9.0, avg: 19.88, max: 45.0)

Episode: 102 (1009), exploration: 0.9406316396611926, score: 22.0
Scores: (min: 9.0, avg: 20.01, max: 45.0)

Episode: 103 (1010), exploration: 0.9399545880245654, score: 25.0
Scores: (min: 9.0, avg: 20.11, max: 45.0)

Episode: 104 (1011), exploration: 0.9395034910278933, score: 15.0
Scores: (min: 9.0, avg: 20.12, max: 45.0)

Episode: 105 (1012), exploration: 0.9391653103560506, score: 14.0
Scores: (min: 9.0, avg: 20.04, max: 45.0)

Episode: 106 (1013), exploration: 0.938827251414641, score: 9.0
Scores: (min: 9.0, avg: 19.96, max: 45.0)

Episode: 107 (1014), exploration: 0.9384893141598467, score: 15.0
Scores: (min: 9.0, avg: 19.86, max: 45.0)

Episode: 108 (1015), exploration: 0.93803892036804, score: 14.0
Scores: (min: 9.0, avg: 19.61, max: 45.0)

Episode: 109 (1016), exploration: 0.937701266878368, score: 13.0
Scores: (min: 9.0, avg: 19.5, max: 45.0)

Episode: 110 (1017), exploration: 0.9362395056648202, score: 52.0
Scores: (min: 9.0, avg: 19.89, max: 52.0)

Episode: 111 (1018), exploration: 0.9356778967637327, score: 18.0
Scores: (min: 9.0, avg: 19.9, max: 52.0)

Episode: 112 (1019), exploration: 0.9350044107521543, score: 27.0
Scores: (min: 9.0, avg: 20.04, max: 52.0)

Episode: 113 (1020), exploration: 0.9345556894129118, score: 14.0
Scores: (min: 9.0, avg: 19.81, max: 52.0)

Episode: 114 (1021), exploration: 0.9341071834211457, score: 15.0
Scores: (min: 9.0, avg: 19.81, max: 52.0)

Episode: 115 (1022), exploration: 0.933546853606387, score: 20.0
Scores: (min: 9.0, avg: 19.91, max: 52.0)

Episode: 116 (1023), exploration: 0.9330988317686516, score: 16.0
Scores: (min: 9.0, avg: 19.92, max: 52.0)

Episode: 117 (1024), exploration: 0.9324272021268807, score: 25.0
Scores: (min: 9.0, avg: 19.86, max: 52.0)

Episode: 118 (1025), exploration: 0.9318678800590102, score: 19.0
Scores: (min: 9.0, avg: 19.73, max: 52.0)

Episode: 119 (1026), exploration: 0.9315324478772711, score: 15.0
Scores: (min: 9.0, avg: 19.72, max: 52.0)

Episode: 120 (1027), exploration: 0.9308619456936172, score: 22.0
Scores: (min: 9.0, avg: 19.83, max: 52.0)

Episode: 121 (1028), exploration: 0.9299686934592236, score: 31.0
Scores: (min: 9.0, avg: 19.97, max: 52.0)

Episode: 122 (1029), exploration: 0.9294108461425711, score: 23.0
Scores: (min: 9.0, avg: 20.1, max: 52.0)

Episode: 123 (1030), exploration: 0.9289648092310958, score: 13.0
Scores: (min: 9.0, avg: 20.13, max: 52.0)

Episode: 124 (1031), exploration: 0.9285189863788035, score: 18.0
Scores: (min: 9.0, avg: 20.14, max: 52.0)

Episode: 125 (1032), exploration: 0.927294076439145, score: 45.0
Scores: (min: 9.0, avg: 20.34, max: 52.0)

Episode: 126 (1033), exploration: 0.9268490553942531, score: 13.0
Scores: (min: 9.0, avg: 20.33, max: 52.0)

Episode: 127 (1034), exploration: 0.9262930794112654, score: 20.0
Scores: (min: 9.0, avg: 20.08, max: 52.0)

Episode: 128 (1035), exploration: 0.9259596539169378, score: 13.0
Model Saved
Scores: (min: 9.0, avg: 20.09, max: 52.0)

Episode: 129 (1036), exploration: 0.9254042114467782, score: 19.0
Scores: (min: 9.0, avg: 20.1, max: 52.0)

Episode: 130 (1037), exploration: 0.9250711059065202, score: 14.0
Scores: (min: 9.0, avg: 20.07, max: 52.0)

Episode: 131 (1038), exploration: 0.9239616198337263, score: 40.0
Scores: (min: 9.0, avg: 20.13, max: 52.0)

Episode: 132 (1039), exploration: 0.9230749891306145, score: 31.0
Scores: (min: 9.0, avg: 20.28, max: 52.0)

Episode: 133 (1040), exploration: 0.9225212770439847, score: 19.0
Scores: (min: 9.0, avg: 20.03, max: 52.0)

Episode: 134 (1041), exploration: 0.9221892092355739, score: 15.0
Scores: (min: 9.0, avg: 19.98, max: 52.0)

Episode: 135 (1042), exploration: 0.9215254321659254, score: 24.0
Scores: (min: 9.0, avg: 20.05, max: 52.0)

Episode: 136 (1043), exploration: 0.9210831795719137, score: 13.0
Scores: (min: 9.0, avg: 19.98, max: 52.0)

Episode: 137 (1044), exploration: 0.9208621328724143, score: 11.0
Scores: (min: 9.0, avg: 19.8, max: 52.0)

Episode: 138 (1045), exploration: 0.920420198604759, score: 13.0
Scores: (min: 9.0, avg: 19.79, max: 52.0)

Episode: 139 (1046), exploration: 0.9200888870938233, score: 14.0
Scores: (min: 9.0, avg: 19.72, max: 52.0)

Episode: 140 (1047), exploration: 0.9197576948407195, score: 10.0
Scores: (min: 9.0, avg: 19.58, max: 52.0)

Episode: 141 (1048), exploration: 0.9192059726530306, score: 22.0
Scores: (min: 9.0, avg: 19.56, max: 52.0)

Episode: 142 (1049), exploration: 0.9187648331991998, score: 14.0
Scores: (min: 9.0, avg: 19.5, max: 52.0)

Episode: 143 (1050), exploration: 0.9176629105684976, score: 43.0
Scores: (min: 9.0, avg: 19.78, max: 52.0)

Episode: 144 (1051), exploration: 0.9170023914563653, score: 22.0
Scores: (min: 9.0, avg: 19.74, max: 52.0)

Episode: 145 (1052), exploration: 0.916452322053991, score: 20.0
Scores: (min: 9.0, avg: 19.81, max: 52.0)

Episode: 146 (1053), exploration: 0.9161224388072082, score: 14.0
Scores: (min: 9.0, avg: 19.74, max: 52.0)

Episode: 147 (1054), exploration: 0.9155728972497255, score: 18.0
Scores: (min: 9.0, avg: 19.75, max: 52.0)

Episode: 148 (1055), exploration: 0.9150236853380527, score: 22.0
Scores: (min: 9.0, avg: 19.75, max: 52.0)

Episode: 149 (1056), exploration: 0.9144748028744498, score: 17.0
Scores: (min: 9.0, avg: 19.74, max: 52.0)

Episode: 150 (1057), exploration: 0.9141456314491463, score: 14.0
Scores: (min: 9.0, avg: 19.69, max: 52.0)

Episode: 151 (1058), exploration: 0.9126110641099464, score: 55.0
Scores: (min: 9.0, avg: 19.88, max: 55.0)

Episode: 152 (1059), exploration: 0.9121730896424618, score: 18.0
Scores: (min: 9.0, avg: 19.93, max: 55.0)

Episode: 153 (1060), exploration: 0.9118447467344917, score: 9.0
Scores: (min: 9.0, avg: 19.78, max: 55.0)

Episode: 154 (1061), exploration: 0.9110790728339443, score: 31.0
Scores: (min: 9.0, avg: 19.9, max: 55.0)

Episode: 155 (1062), exploration: 0.9103140418679798, score: 26.0
Scores: (min: 9.0, avg: 20.0, max: 55.0)

Episode: 156 (1063), exploration: 0.9098771697727245, score: 16.0
Scores: (min: 9.0, avg: 20.05, max: 55.0)

Episode: 157 (1064), exploration: 0.9094405073383321, score: 16.0
Scores: (min: 9.0, avg: 20.06, max: 55.0)

Episode: 158 (1065), exploration: 0.9090040544641836, score: 16.0
Scores: (min: 9.0, avg: 19.95, max: 55.0)

Episode: 159 (1066), exploration: 0.9085678110497083, score: 16.0
Scores: (min: 9.0, avg: 19.95, max: 55.0)

Episode: 160 (1067), exploration: 0.9068249299788103, score: 64.0
Scores: (min: 9.0, avg: 20.43, max: 64.0)

Episode: 161 (1068), exploration: 0.9061722118720732, score: 23.0
Scores: (min: 9.0, avg: 20.52, max: 64.0)

Episode: 162 (1069), exploration: 0.9059547435901038, score: 10.0
Scores: (min: 9.0, avg: 20.45, max: 64.0)

Episode: 163 (1070), exploration: 0.9055199635814086, score: 15.0
Scores: (min: 9.0, avg: 20.45, max: 64.0)

Episode: 164 (1071), exploration: 0.9049767819824881, score: 22.0
Scores: (min: 9.0, avg: 20.56, max: 64.0)

Episode: 165 (1072), exploration: 0.9045424713108753, score: 15.0
Scores: (min: 9.0, avg: 20.37, max: 64.0)

Episode: 166 (1073), exploration: 0.9042168750958751, score: 13.0
Scores: (min: 9.0, avg: 20.38, max: 64.0)

Episode: 167 (1074), exploration: 0.9036744751624236, score: 17.0
Scores: (min: 9.0, avg: 20.4, max: 64.0)

Episode: 168 (1075), exploration: 0.9034576063012971, score: 11.0
Scores: (min: 9.0, avg: 20.26, max: 64.0)

Episode: 169 (1076), exploration: 0.902590651185942, score: 30.0
Scores: (min: 9.0, avg: 20.34, max: 64.0)

Episode: 170 (1077), exploration: 0.9021574856509663, score: 18.0
Scores: (min: 9.0, avg: 20.42, max: 64.0)

Episode: 171 (1078), exploration: 0.9016163210546653, score: 17.0
Scores: (min: 9.0, avg: 20.39, max: 64.0)

Episode: 172 (1079), exploration: 0.9010754810792037, score: 21.0
Scores: (min: 9.0, avg: 20.47, max: 64.0)

Episode: 173 (1080), exploration: 0.9006430426949792, score: 17.0
Scores: (min: 9.0, avg: 20.49, max: 64.0)

Episode: 174 (1081), exploration: 0.9003188501058321, score: 13.0
Scores: (min: 9.0, avg: 20.43, max: 64.0)

Episode: 175 (1082), exploration: 0.8999947742120126, score: 11.0
Scores: (min: 9.0, avg: 20.38, max: 64.0)

Episode: 176 (1083), exploration: 0.8993469723423502, score: 22.0
Scores: (min: 9.0, avg: 20.4, max: 64.0)

Episode: 177 (1084), exploration: 0.899023246282542, score: 14.0
Scores: (min: 9.0, avg: 20.25, max: 64.0)

Episode: 178 (1085), exploration: 0.8985917927937209, score: 16.0
Scores: (min: 9.0, avg: 20.27, max: 64.0)

Episode: 179 (1086), exploration: 0.8974063630557879, score: 43.0
Scores: (min: 9.0, avg: 20.59, max: 64.0)

Episode: 180 (1087), exploration: 0.897083335531492, score: 12.0
Scores: (min: 9.0, avg: 20.31, max: 64.0)

Episode: 181 (1088), exploration: 0.8963300567533969, score: 30.0
Scores: (min: 9.0, avg: 20.44, max: 64.0)

Episode: 182 (1089), exploration: 0.8960074166528753, score: 12.0
Scores: (min: 9.0, avg: 20.37, max: 64.0)

Episode: 183 (1090), exploration: 0.895362484819524, score: 22.0
Scores: (min: 9.0, avg: 20.46, max: 64.0)

Episode: 184 (1091), exploration: 0.8949327881799407, score: 18.0
Scores: (min: 9.0, avg: 20.48, max: 64.0)

Episode: 185 (1092), exploration: 0.8942886298470073, score: 24.0
Scores: (min: 9.0, avg: 20.51, max: 64.0)

Episode: 186 (1093), exploration: 0.8937521854312094, score: 20.0
Scores: (min: 9.0, avg: 20.59, max: 64.0)

Episode: 187 (1094), exploration: 0.8934304732530041, score: 12.0
Scores: (min: 9.0, avg: 20.26, max: 64.0)

Episode: 188 (1095), exploration: 0.8930017038120603, score: 15.0
Scores: (min: 9.0, avg: 20.29, max: 64.0)

Episode: 189 (1096), exploration: 0.8925731401434055, score: 16.0
Scores: (min: 9.0, avg: 20.11, max: 64.0)

Episode: 190 (1097), exploration: 0.8919306802474558, score: 25.0
Scores: (min: 9.0, avg: 20.19, max: 64.0)

Episode: 191 (1098), exploration: 0.8913956502619136, score: 18.0
Scores: (min: 9.0, avg: 20.26, max: 64.0)

Episode: 192 (1099), exploration: 0.891074786334571, score: 12.0
Model Saved
Scores: (min: 9.0, avg: 20.02, max: 64.0)

Episode: 193 (1100), exploration: 0.8905402697621427, score: 22.0
Scores: (min: 9.0, avg: 20.15, max: 64.0)

Episode: 194 (1101), exploration: 0.8898992730938379, score: 21.0
Scores: (min: 9.0, avg: 20.15, max: 64.0)

Episode: 195 (1102), exploration: 0.8894721983238991, score: 18.0
Scores: (min: 9.0, avg: 20.21, max: 64.0)

Episode: 196 (1103), exploration: 0.889258737804701, score: 9.0
Scores: (min: 9.0, avg: 19.89, max: 64.0)

Episode: 197 (1104), exploration: 0.8888319704363633, score: 13.0
Scores: (min: 9.0, avg: 19.83, max: 64.0)

Episode: 198 (1105), exploration: 0.8885120293230113, score: 15.0
Scores: (min: 9.0, avg: 19.85, max: 64.0)

Episode: 199 (1106), exploration: 0.8871269480950006, score: 50.0
Scores: (min: 9.0, avg: 20.24, max: 64.0)

Episode: 200 (1107), exploration: 0.8869140504020858, score: 10.0
Scores: (min: 9.0, avg: 20.09, max: 64.0)

Episode: 201 (1108), exploration: 0.8863820296721427, score: 19.0
Scores: (min: 9.0, avg: 20.03, max: 64.0)

Episode: 202 (1109), exploration: 0.8857440260386665, score: 24.0
Scores: (min: 9.0, avg: 20.05, max: 64.0)

Episode: 203 (1110), exploration: 0.8852127071548784, score: 21.0
Scores: (min: 9.0, avg: 20.01, max: 64.0)

Episode: 204 (1111), exploration: 0.8847878815317035, score: 13.0
Scores: (min: 9.0, avg: 19.99, max: 64.0)

Episode: 205 (1112), exploration: 0.8843632597881258, score: 19.0
Scores: (min: 9.0, avg: 20.04, max: 64.0)

Episode: 206 (1113), exploration: 0.8830906168567643, score: 47.0
Scores: (min: 9.0, avg: 20.42, max: 64.0)

Episode: 207 (1114), exploration: 0.8824549823296837, score: 23.0
Scores: (min: 9.0, avg: 20.5, max: 64.0)

Episode: 208 (1115), exploration: 0.8820314801761764, score: 17.0
Scores: (min: 9.0, avg: 20.53, max: 64.0)

Episode: 209 (1116), exploration: 0.8817139869455487, score: 12.0
Scores: (min: 9.0, avg: 20.52, max: 64.0)

Episode: 210 (1117), exploration: 0.8811850855049603, score: 21.0
Scores: (min: 9.0, avg: 20.21, max: 64.0)

Episode: 211 (1118), exploration: 0.8802338622910805, score: 34.0
Scores: (min: 9.0, avg: 20.37, max: 64.0)

Episode: 212 (1119), exploration: 0.8799170161252375, score: 13.0
Scores: (min: 9.0, avg: 20.23, max: 64.0)

Episode: 213 (1120), exploration: 0.8792836659052956, score: 25.0
Scores: (min: 9.0, avg: 20.34, max: 64.0)

Episode: 214 (1121), exploration: 0.8789671617691046, score: 9.0
Scores: (min: 9.0, avg: 20.28, max: 64.0)

Episode: 215 (1122), exploration: 0.8786507715607303, score: 13.0
Scores: (min: 9.0, avg: 20.21, max: 64.0)

Episode: 216 (1123), exploration: 0.8782290950997347, score: 18.0
Scores: (min: 9.0, avg: 20.23, max: 64.0)

Episode: 217 (1124), exploration: 0.8773863491854382, score: 30.0
Scores: (min: 9.0, avg: 20.28, max: 64.0)

Episode: 218 (1125), exploration: 0.8768600437044008, score: 19.0
Scores: (min: 9.0, avg: 20.28, max: 64.0)

Episode: 219 (1126), exploration: 0.8765444119675059, score: 13.0
Scores: (min: 9.0, avg: 20.26, max: 64.0)

Episode: 220 (1127), exploration: 0.8760186115275748, score: 19.0
Scores: (min: 9.0, avg: 20.23, max: 64.0)

Episode: 221 (1128), exploration: 0.8755981982759946, score: 17.0
Scores: (min: 9.0, avg: 20.09, max: 64.0)

Episode: 222 (1129), exploration: 0.8751779867864544, score: 17.0
Scores: (min: 9.0, avg: 20.03, max: 64.0)

Episode: 223 (1130), exploration: 0.8747579769621259, score: 15.0
Scores: (min: 9.0, avg: 20.05, max: 64.0)

Episode: 224 (1131), exploration: 0.8743381687062272, score: 18.0
Scores: (min: 9.0, avg: 20.05, max: 64.0)

Episode: 225 (1132), exploration: 0.8736039889915023, score: 25.0
